weekday,cam,hour,count
0,500,22,392
0,500,23,381
0,501,0,554
0,501,1,426
0,501,2,294
0,501,3,190
0,501,4,190
0,501,5,241
0,501,6,510
0,501,7,783
0,501,8,1072
0,501,9,1170
0,501,10,1245
0,501,11,1369
0,501,12,1269
0,501,13,1265
0,501,14,1234
0,501,15,1142
0,501,16,1151
0,501,17,1468
0,501,18,1342
0,501,19,1187
0,501,20,921
0,501,21,726
0,501,22,716
0,501,23,699
0,502,0,150
0,502,1,117
0,502,2,80
0,502,3,78
0,502,4,61
0,502,5,112
0,502,6,121
0,502,7,128
0,502,8,193
0,502,9,224
0,502,10,221
0,502,11,270
0,502,12,285
0,502,13,324
0,502,14,290
0,502,15,248
0,502,16,261
0,502,17,300
0,502,18,486
0,502,19,404
0,502,20,379
0,502,21,190
0,502,22,166
0,502,23,135
0,503,0,262
0,503,1,209
0,503,2,208
0,503,3,141
0,503,4,116
0,503,5,137
0,503,6,121
0,503,7,223
0,503,8,283
0,503,9,432
0,503,10,599
0,503,11,678
0,503,12,851
0,503,13,977
0,503,14,940
0,503,15,891
0,503,16,820
0,503,17,932
0,503,18,961
0,503,19,851
0,503,20,735
0,503,21,343
0,503,22,281
0,503,23,236
0,504,0,92
0,504,1,69
0,504,2,30
0,504,3,18
0,504,4,28
0,504,5,93
0,504,6,210
0,504,7,357
0,504,8,672
0,504,9,819
0,504,10,767
0,504,11,951
0,504,12,1041
0,504,13,1089
0,504,14,1058
0,504,15,1141
0,504,16,1280
0,504,17,1220
0,504,18,1144
0,504,19,893
0,504,20,644
0,504,21,218
0,504,22,194
0,504,23,132
0,506,0,146
0,506,1,123
0,506,2,102
0,506,3,84
0,506,4,73
0,506,5,159
0,506,6,243
0,506,7,375
0,506,8,647
0,506,9,841
0,506,10,868
0,506,11,987
0,506,12,983
0,506,13,1155
0,506,14,1055
0,506,15,1131
0,506,16,1262
0,506,17,1263
0,506,18,1205
0,506,19,992
0,506,20,786
0,506,21,212
0,506,22,225
0,506,23,169
0,507,0,31
0,507,1,22
0,507,2,14
0,507,3,7
0,507,4,9
0,507,5,34
0,507,6,49
0,507,7,76
0,507,8,89
0,507,9,176
0,507,10,217
0,507,11,233
0,507,12,218
0,507,13,282
0,507,14,298
0,507,15,292
0,507,16,323
0,507,17,333
0,507,18,339
0,507,19,255
0,507,20,233
0,507,21,57
0,507,22,51
0,507,23,37
0,508,0,124
0,508,1,114
0,508,2,73
0,508,3,66
0,508,4,51
0,508,5,120
0,508,6,154
0,508,7,220
0,508,8,358
0,508,9,447
0,508,10,533
0,508,11,606
0,508,12,708
0,508,13,818
0,508,14,740
0,508,15,671
0,508,16,670
0,508,17,762
0,508,18,751
0,508,19,706
0,508,20,571
0,508,21,212
0,508,22,177
0,508,23,174
0,509,0,314
0,509,1,238
0,509,2,195
0,509,3,172
0,509,4,203
0,509,5,230
0,509,6,260
0,509,7,306
0,509,8,417
0,509,9,599
0,509,10,742
0,509,11,845
0,509,12,879
0,509,13,832
0,509,14,849
0,509,15,947
0,509,16,866
0,509,17,936
0,509,18,906
0,509,19,712
0,509,20,702
0,509,21,440
0,509,22,390
0,509,23,289
0,510,0,77
0,510,1,68
0,510,2,75
0,510,3,106
0,510,4,92
0,510,5,57
0,510,6,99
0,510,7,184
0,510,8,242
0,510,9,326
0,510,10,418
0,510,11,564
0,510,12,616
0,510,13,631
0,510,14,622
0,510,15,632
0,510,16,635
0,510,17,732
0,510,18,694
0,510,19,534
0,510,20,409
0,510,21,131
0,510,22,95
0,510,23,80
0,511,0,106
0,511,1,66
0,511,2,61
0,511,3,34
0,511,4,43
0,511,5,123
0,511,6,139
0,511,7,190
0,511,8,263
0,511,9,382
0,511,10,490
0,511,11,560
0,511,12,640
0,511,13,515
0,511,14,563
0,511,15,498
0,511,16,452
0,511,17,579
0,511,18,661
0,511,19,453
0,511,20,343
0,511,21,148
0,511,22,111
0,511,23,70
0,517,0,63
0,517,1,64
0,517,2,53
0,517,3,33
0,517,4,31
0,517,5,91
0,517,6,86
0,517,7,97
0,517,8,230
0,517,9,337
0,517,10,453
0,517,11,487
0,517,12,496
0,517,13,482
0,517,14,383
0,517,15,329
