date,cam,count
2017-07-01,715,359
2017-07-01,716,812
2017-07-01,717,2582
2017-07-01,722,4244
2017-07-01,725,1402
2017-07-01,789,2967
2017-07-01,790,693
2017-07-01,791,1088
2017-07-01,794,631
2017-07-01,827,1187
2017-07-01,828,1416
2017-07-01,838,3943
2017-07-01,845,1961
2017-07-01,846,2387
2017-07-01,869,1672
2017-07-01,891,4481
2017-07-01,893,13
2017-07-01,899,11822
2017-07-01,928,782
2017-07-01,985,3081
2017-07-01,988,841
2017-07-01,1028,2196
2017-07-02,163,4377
2017-07-02,165,1006
2017-07-02,166,241
2017-07-02,168,3689
2017-07-02,169,4274
2017-07-02,170,7563
2017-07-02,171,4499
2017-07-02,172,1216
2017-07-02,173,2105
2017-07-02,175,3408
2017-07-02,176,618
2017-07-02,179,4165
2017-07-02,180,4634
2017-07-02,181,6985
2017-07-02,182,310
2017-07-02,187,1611
2017-07-02,192,1458
2017-07-02,211,164
2017-07-02,253,424
2017-07-02,287,2324
2017-07-02,292,396
2017-07-02,326,968
2017-07-02,330,1285
2017-07-02,338,1244
2017-07-02,339,889
2017-07-02,347,4463
2017-07-02,351,2541
2017-07-02,361,1346
2017-07-02,398,2327
2017-07-02,399,584
2017-07-02,400,1025
2017-07-02,403,1473
2017-07-02,404,1678
2017-07-02,406,1428
2017-07-02,407,1050
2017-07-02,409,3574
2017-07-02,410,558
2017-07-02,412,1338
2017-07-02,413,1912
2017-07-02,414,2228
2017-07-02,415,2870
2017-07-02,416,1818
2017-07-02,419,1036
2017-07-02,420,2740
2017-07-02,421,2775
2017-07-02,426,644
2017-07-02,427,1331
2017-07-02,430,1022
2017-07-02,432,905
2017-07-02,433,1756
2017-07-02,445,1720
2017-07-02,446,795
2017-07-02,452,3513
2017-07-02,459,2469
2017-07-02,472,865
2017-07-02,473,1550
2017-07-02,474,220
2017-07-02,475,6410
2017-07-02,489,4409
2017-07-02,495,1914
2017-07-02,500,3927
2017-07-02,501,5658
2017-07-02,502,1172
2017-07-02,503,2540
2017-07-02,504,3358
2017-07-02,506,3449
2017-07-02,507,841
2017-07-02,508,2084
2017-07-02,509,2117
2017-07-02,510,1471
2017-07-02,511,1602
2017-07-02,517,1314
2017-07-02,519,2023
2017-07-02,523,5207
2017-07-02,528,1822
2017-07-02,531,1493
2017-07-02,535,6481
2017-07-02,542,2390
2017-07-02,544,1307
2017-07-02,545,1552
2017-07-02,547,392
2017-07-02,548,993
2017-07-02,550,620
2017-07-02,551,826
2017-07-02,552,1067
2017-07-02,715,369
2017-07-02,716,732
2017-07-02,717,2366
2017-07-02,722,3660
2017-07-02,725,1312
2017-07-02,789,2847
2017-07-02,790,637
2017-07-02,791,884
2017-07-02,794,915
2017-07-02,827,1125
2017-07-02,828,1078
2017-07-02,838,3582
2017-07-02,845,1519
2017-07-02,846,2142
2017-07-02,869,2498
2017-07-02,891,3302
2017-07-02,893,157
2017-07-02,899,12744
2017-07-02,928,714
2017-07-02,985,3441
2017-07-02,988,1073
2017-07-02,1028,2130
2017-07-03,163,5130
2017-07-03,165,1322
2017-07-03,166,298
2017-07-03,168,4585
2017-07-03,169,4513
2017-07-03,170,9381
2017-07-03,171,5046
2017-07-03,172,1368
2017-07-03,173,2713
2017-07-03,175,3889
2017-07-03,176,1087
2017-07-03,179,4441
2017-07-03,180,5274
2017-07-03,181,7916
2017-07-03,182,349
2017-07-03,187,3243
2017-07-03,192,2546
2017-07-03,211,266
2017-07-03,253,563
2017-07-03,287,2729
2017-07-03,292,514
2017-07-03,326,969
2017-07-03,330,2020
2017-07-03,338,1807
2017-07-03,339,1404
2017-07-03,347,4939
2017-07-03,351,3639
2017-07-03,361,2610
2017-07-03,398,3940
2017-07-03,399,825
2017-07-03,400,854
2017-07-03,403,1991
2017-07-03,404,2090
2017-07-03,406,2354
2017-07-03,407,1145
2017-07-03,409,4057
2017-07-03,410,1171
2017-07-03,412,1510
2017-07-03,413,2526
2017-07-03,414,2644
2017-07-03,415,2920
2017-07-03,416,1690
2017-07-03,419,1569
2017-07-03,420,3222
2017-07-03,421,3560
2017-07-03,426,798
2017-07-03,427,1534
2017-07-03,430,1034
2017-07-03,432,2222
2017-07-03,433,2161
2017-07-03,445,3059
2017-07-03,446,189
2017-07-03,452,24
2017-07-03,459,2152
2017-07-03,472,1098
2017-07-03,473,1375
2017-07-03,474,271
2017-07-03,475,7487
2017-07-03,489,4964
2017-07-03,495,2620
2017-07-03,500,4359
2017-07-03,501,6948
2017-07-03,502,1206
2017-07-03,503,3107
2017-07-03,504,3742
2017-07-03,506,3911
2017-07-03,507,1018
2017-07-03,508,2499
2017-07-03,509,3295
2017-07-03,510,2091
2017-07-03,511,1398
2017-07-03,517,1435
2017-07-03,519,1958
2017-07-03,523,7562
2017-07-03,528,2951
2017-07-03,531,2136
2017-07-03,535,7305
2017-07-03,542,3203
2017-07-03,544,1580
2017-07-03,545,1506
2017-07-03,547,236
2017-07-03,548,973
2017-07-03,550,1617
2017-07-03,551,1506
2017-07-03,552,1411
2017-07-03,715,388
2017-07-03,716,1888
2017-07-03,717,2514
2017-07-03,722,4583
2017-07-03,725,2096
2017-07-03,789,3460
2017-07-03,790,665
2017-07-03,791,1090
2017-07-03,794,1592
2017-07-03,827,1248
2017-07-03,828,1092
2017-07-03,838,4469
2017-07-03,845,1731
2017-07-03,846,2535
2017-07-03,869,2166
2017-07-03,891,3562
2017-07-03,893,167
2017-07-03,899,12869
2017-07-03,928,958
2017-07-03,985,4221
2017-07-03,988,936
2017-07-03,1028,2349
2017-07-04,163,3630
2017-07-04,165,1371
2017-07-04,166,353
2017-07-04,168,3762
2017-07-04,169,3981
2017-07-04,170,8692
2017-07-04,171,4841
2017-07-04,172,1625
2017-07-04,173,2195
2017-07-04,175,4009
2017-07-04,176,779
2017-07-04,179,4098
2017-07-04,180,4301
2017-07-04,181,8758
2017-07-04,182,274
2017-07-04,187,3645
2017-07-04,192,2322
2017-07-04,211,410
2017-07-04,253,882
2017-07-04,287,1436
2017-07-04,292,529
2017-07-04,326,1033
2017-07-04,330,1363
2017-07-04,338,1777
2017-07-04,339,1423
2017-07-04,347,4714
2017-07-04,351,2906
2017-07-04,361,3453
2017-07-04,398,3392
2017-07-04,399,610
2017-07-04,400,780
2017-07-04,403,2711
2017-07-04,404,1955
2017-07-04,406,1924
2017-07-04,407,1026
2017-07-04,409,3969
2017-07-04,410,1030
2017-07-04,412,377
2017-07-04,413,2015
2017-07-04,414,2407
2017-07-04,415,2838
2017-07-04,416,1666
2017-07-04,419,1134
2017-07-04,420,3034
2017-07-04,421,3026
2017-07-04,426,966
2017-07-04,427,1632
2017-07-04,430,1216
2017-07-04,432,1003
2017-07-04,433,1935
2017-07-04,445,2046
2017-07-04,446,24
2017-07-04,452,0
2017-07-04,459,1934
2017-07-04,472,785
2017-07-04,473,1770
2017-07-04,474,331
2017-07-04,475,7456
2017-07-04,489,4738
2017-07-04,495,3089
2017-07-04,500,3792
2017-07-04,501,6801
2017-07-04,502,1111
2017-07-04,503,2954
2017-07-04,504,3160
2017-07-04,506,3536
2017-07-04,507,797
2017-07-04,508,2495
2017-07-04,509,3057
